RA,IAA,IEG,IPS,math,portuguese,lag,IAA__minus_1,IEG__minus_1,IPS__minus_1,math__minus_1,portuguese__minus_1,lag__minus_1,IAA__minus_2,IEG__minus_2,IPS__minus_2,math__minus_2,portuguese__minus_2,lag__minus_2,years
RA-232,"0,0","4,9","7,5","0,0","0,0",0,,,,,,,,,,,,,1
RA-233,"7,9","7,4","7,5","3,0","4,5",-1,,,,,,,,,,,,,1
RA-234,"6,7","8,0","2,52","6,3","5,3",0,"10,0","7,6","5,6","3,7","6,3",0.0,,,,,,,2
RA-235,"8,3","7,3","7,5","7,0","5,5",-1,,,,,,,,,,,,,1
RA-236,"9,2","7,9","6,3","1,5","4,0",0,"10,0","7,5","7,52","6,3","4,0",0.0,"9,6","7,5","7,5","4,0","4,0",0.0,3
RA-237,"8,8","9,7","6,3","6,0","7,0",-1,"8,3","9,5","2,52","7,7","7,0",-1.0,"10,0","9,0","7,5","6,8","7,7",-1.0,3
RA-238,"8,8","6,4","5,0","4,3","6,5",-1,,,,,,,,,,,,,1
RA-239,"8,8","6,4","5,6","4,0","10,0",-3,"0,0","8,4",5,"6,0","7,2",-2.0,"0,0","3,7","7,5","2,0","4,7",-2.0,3
RA-240,"7,1","6,7","2,52","7,0","3,3",0,"7,1","8,1","5,0","6,3","5,0",0.0,,,,,,,2
RA-241,"10,0","9,9","7,2","6,2","7,2",2,"0,0","9,9","2,52","9,3","7,0",-1.0,"10,0","10,0","7,5","8,2","7,5",-1.0,3
RA-242,"9,6","9,6","6,3","8,1","8,1",2,"7,1","9,7","2,52","9,3","7,3",0.0,"9,6","9,7","5,6","8,7","7,2",0.0,3
RA-243,"7,1","8,7","5,0","5,0","5,3",-2,,,,,,,,,,,,,1
RA-244,"7,5","10,0","6,3","10,0","9,0",1,"0,0","8,8","2,52","7,0","8,0",1.0,"7,5","9,4","6,3","6,7","8,0",0.0,3
RA-245,"9,2","10,0","6,9","8,4","7,6",2,"0,0","10,0","2,52","9,3","7,8",-1.0,"10,0","9,9","7,5","8,3","8,2",-1.0,3
RA-246,"8,3","0,0","6,6","0,0","0,0",2,"8,8","9,9","4,39","7,7","7,0",0.0,"8,3","9,4","7,5","8,0","6,7",0.0,3
RA-247,"0,0","8,3","6,3","0,0","5,0",0,"0,0","8,5","7,52","6,5","6,7",0.0,"8,3","8,2","7,5","5,3","5,7",0.0,3
RA-248,"9,2","7,6","7,5","4,0","5,5",0,,,,,,,,,,,,,1
RA-249,"7,1","6,6","5,0","1,0","8,0",-2,"0,0","8,2",5,"6,2","5,3",-2.0,"6,7","7,4","5,0","2,3","4,2",-1.0,3
RA-250,"9,2","9,6","6,9","10,0","7,5",0,"0,0","9,3","5,63","7,7","8,8",0.0,"8,3","8,6","7,5","6,7","6,5",0.0,3
RA-251,"8,8","8,6","5,6","4,0","2,5",-1,"9,6","8,0","2,52","5,0","5,5",-1.0,"10,0","8,1","5,6","5,3","6,3",-2.0,3
RA-252,"9,2","2,8","7,5","1,3","1,2",-1,,,,,,,,,,,,,1
RA-253,"9,2","3,6","5,0","1,0","3,7",-2,,,,,,,,,,,,,1
RA-254,"10,0","7,4","5,6","5,0","6,8",-1,,,,,,,,,,,,,1
RA-255,"7,5","3,8","5,0","1,0","2,3",-1,,,,,,,,,,,,,1
RA-256,"8,8","8,5","5,0","5,3","6,7",0,,,,,,,,,,,,,1
RA-257,"0,0","6,4","5,6","4,0","5,2",-1,,,,,,,,,,,,,1
RA-258,"10,0","7,3","5,6","2,7","6,2",0,,,,,,,,,,,,,1
RA-259,"8,8","2,9","7,5","0,0","2,7",-3,,,,,,,,,,,,,1
RA-260,"8,8","9,7","7,5","7,5","5,5",0,"9,2","9,9","7,52","6,3","5,2",0.0,"10,0","8,2","7,5","5,7","5,2",0.0,3
RA-261,"8,8","7,2","5,6","6,2","5,8",-1,,,,,,,,,,,,,1
RA-262,"7,9","4,9","7,5","1,0","4,5",-2,"0,0","3,7",5,"5,0","3,3",-2.0,"0,0","5,8","5,6","1,3","5,5",-2.0,3
RA-263,"5,8","5,6","7,5","3,0","2,8",-2,,,,,,,,,,,,,1
RA-264,"10,0","9,2","5,6","6,0","5,5",-2,,,,,,,,,,,,,1
RA-265,"8,3","7,7","7,5","5,3","7,0",0,,,,,,,,,,,,,1
RA-266,"7,5","5,8","5,6","5,0","6,7",-3,,,,,,,,,,,,,1
RA-267,"10,0","8,3","6,3","0,0","2,0",-2,,,,,,,"10,0","7,4","5,0","2,3","4,8",-2.0,3
RA-268,"9,2","6,7","6,3","7,0","6,8",-1,,,,,,,,,,,,,1
RA-269,"9,2","9,6","7,5","8,1","8,6",2,"9,6","9,0","2,52","8,0","7,3",0.0,"9,2","8,6","6,3","8,7","9,5",0.0,3
RA-270,"9,2","0,0","6,3","0,0","0,0",2,"9,2","9,0","2,52","7,7","6,2",0.0,"8,3","8,4","6,9","8,0","7,2",0.0,3
RA-271,"9,2","9,0","6,3","5,0","7,5",-1,"0,0","9,3","2,52","4,3","7,0",-2.0,"9,2","8,5","5,6","6,3","6,5",-2.0,3
RA-272,"9,2","5,7","7,5","5,0","6,8",-1,,,,,,,,,,,,,1
RA-273,"9,2","7,3","6,3","3,0","6,5",-1,"7,9","7,4","2,52","5,3","6,8",-1.0,"9,2","5,3","7,5","3,8","4,7",-1.0,3
RA-274,"8,3","9,6","5,6","9,0","9,0",2,"7,5","9,5","5,63","7,0","7,7",1.0,"7,9","8,3","7,5","8,1","9,3",1.0,3
RA-275,"9,6","6,9","7,5","5,0","6,0",-2,,,,,,,,,,,,,1
RA-276,"6,3","8,5","2,52","3,7","4,7",0,"7,1","5,7","5,6","3,7","6,0",-1.0,,,,,,,2
RA-277,"8,3","9,7","6,6","6,5","8,2",2,"8,3","9,9","7,52","5,7","6,0",-1.0,"7,1","8,8","7,5","7,2","7,0",-1.0,3
RA-278,"9,2","9,9","7,5","9,0","9,0",1,"0,0","9,8","5,63","6,0","5,3",1.0,"8,8","9,2","5,6","5,7","5,8",0.0,3
RA-279,"9,2","10,0","7,5","10,0","8,0",1,"8,8","10,0","6,27","9,0","8,5",0.0,"9,2","9,9","6,3","9,7","8,3",0.0,3
RA-280,"7,9","9,9","6,3","10,0","8,0",1,"6,7","9,5","7,52","6,3","7,7",0.0,"7,5","9,2","7,5","5,7","7,0",0.0,3
RA-281,"6,7","6,9","7,5","5,0","6,8",0,,,,,,,,,,,,,1
RA-282,"8,8","6,8","7,5","4,7","6,3",0,,,,,,,,,,,,,1
RA-283,"8,8","9,8","6,9","6,5","8,0",-2,"8,3","9,5","7,52","6,8","4,8",-2.0,"9,6","8,8","7,5","4,5","5,8",-1.0,3
RA-284,"6,7","5,1","5,6","7,0","4,5",0,,,,,,,,,,,,,1
RA-285,"8,3","4,6","2,52","4,0","6,0",-3,"9,2","4,1","7,5","4,0","3,2",-3.0,,,,,,,2
RA-286,"6,7","4,0","6,3","5,0","0,0",-1,"0,0","7,5",5,"3,7","5,0",-1.0,"7,1","5,8","6,3","4,7","2,3",-2.0,3
RA-287,"0,0","4,8","2,52","3,0","2,3",-4,"7,9","3,4","5,0","0,7","2,5",-4.0,,,,,,,2
RA-289,"0,0","7,8","6,3","5,3","7,5",-1,,,,,,,,,,,,,1
RA-290,"10,0","3,9","6,3","1,0","2,3",-4,,,,,,,,,,,,,1
RA-291,"8,8","9,7","6,3","6,0","6,5",2,"8,8","8,6","7,52","8,0","6,5",0.0,"8,3","8,2","6,9","8,0","7,5",0.0,3
RA-292,"7,9","3,7","7,5","0,0","5,0",-3,,,,,,,,,,,,,1
RA-293,"8,8","2,9","7,5","2,0","3,8",0,,,,,,,,,,,,,1
RA-295,"8,8","8,8","2,52","7,3","7,2",-1,"7,9","8,0","7,5","5,3","7,7",-1.0,,,,,,,2
RA-296,"8,8","3,6","7,5","5,7","2,7",-2,,,,,,,,,,,,,1
RA-297,"7,1","7,9","6,3","6,3","5,3",0,,,,,,,,,,,,,1
RA-298,"9,6","8,6","2,52","7,7","4,5",-1,"9,2","6,3","5,6","5,5","4,8",0.0,,,,,,,2
RA-299,"8,8","9,0","6,3","8,0","7,5",1,"0,0","9,6","2,52","5,0","7,2",0.0,"7,1","8,2","5,0","6,3","7,3",0.0,3
RA-300,"5,0","7,5","2,52","4,5","5,3",-2,"5,4","6,9","6,3","2,7","4,8",-1.0,,,,,,,2
RA-301,"9,2","7,5","7,5","10,0","9,0",0,"9,2","5,4","7,52","4,7","6,5",0.0,"8,8","5,8","5,6","6,5","7,2",0.0,3
RA-302,"0,0","7,3",5,"4,7","2,3",-2,"9,2","7,7","6,9","4,3","5,0",-3.0,,,,,,,2
RA-303,"8,8","4,0","7,5","5,0","5,0",-2,"0,0","7,3","7,52","5,7","5,2",-2.0,"7,5","7,2","7,5","3,8","4,0",-1.0,3
RA-304,"10,0","7,8","7,5","9,0","5,5",-3,"0,0","8,8",5,"7,0","3,7",-2.0,"8,8","7,7","7,5","3,0","5,5",-2.0,3
RA-305,"8,3","7,9","6,3","3,0","3,0",-1,"0,0","8,9","7,52","5,2","4,8",-2.0,"7,9","6,6","7,5","2,8","6,7",-1.0,3
RA-306,"7,9","7,7","7,5","3,5","1,5",-1,"0,0","7,9","6,26","4,7","4,5",-1.0,"8,3","6,8","7,5","4,7","5,8",-1.0,3
RA-307,"0,0","6,5","7,52","6,3","7,3",-2,"5,4","4,5","7,5","5,0","0,0",-1.0,,,,,,,2
RA-308,"7,1","8,7","5,6","5,5","7,0",1,"5,4","6,8",5,"4,7","5,2",0.0,"7,9","7,4","6,9","6,7","5,5",0.0,3
RA-309,"9,2","5,2","7,5","7,0","6,0",-1,,,,,,,,,,,,,1
RA-310,"7,9","7,5","7,5","3,7","3,8",-2,,,,,,,,,,,,,1
RA-311,"7,9","5,6","5,0","5,0","6,2",-3,,,,,,,,,,,,,1
RA-312,"9,6","8,1","7,5","6,0","4,5",0,,,,,,,,,,,,,1
RA-313,"8,8","9,7","5,6","1,0","8,0",-1,"9,2","8,7","2,52","4,0","2,8",0.0,"7,5","7,0","5,0","4,7","5,0",-1.0,3
RA-314,"5,4","5,4","5,0","4,3","3,3",0,,,,,,,,,,,,,1
RA-315,"0,0","5,9","7,5","6,5","6,5",-1,"0,0","6,8",5,"5,7","6,8",-1.0,"6,7","5,1","7,5","3,0","4,2",0.0,3
RA-316,"9,2","10,0","7,5","8,5","7,0",0,"10,0","9,5","7,52","6,3","5,7",0.0,"10,0","10,0","6,9","7,0","6,5",-1.0,3
RA-317,"8,8","5,6","7,5","4,7","5,7",0,,,,,,,,,,,,,1
RA-318,"7,9","9,1","7,5","2,0","6,0",-1,"7,9","8,1","6,26","5,0","5,0",-1.0,"8,3","6,9","6,9","4,3","5,8",-1.0,3
RA-319,"9,6","9,0","7,5","4,0","5,0",0,"9,6","9,2",5,"5,7","5,8",0.0,"9,2","7,7","7,5","6,3","4,3",0.0,3
RA-320,"9,2","10,0","7,5","7,5","5,5",0,"9,2","9,9","7,52","5,7","6,0",0.0,"8,8","10,0","6,9","7,3","6,3",-1.0,3
RA-321,"7,9","9,5","6,3","6,0","6,0",1,"8,3","9,4","2,52","6,0","5,8",1.0,"9,2","9,1","5,6","5,7","6,2",0.0,3
RA-322,"6,7","8,3","2,52","4,0","5,5",0,"7,1","8,1","5,0","4,3","5,7",0.0,,,,,,,2
RA-323,"9,2","7,3","7,5","7,3","2,5",0,,,,,,,,,,,,,1
RA-324,"5,8","9,0","2,52","8,0","8,7",0,"10,0","9,3","6,9","6,3","7,2",0.0,,,,,,,2
RA-325,"9,2","9,9","7,5","7,0","5,5",0,"0,0","7,1",5,"3,8","7,3",0.0,"9,5","6,8","7,5","6,0","6,0",0.0,3
RA-326,"9,2","9,0","6,3","10,0","9,0",1,"9,6","9,4","3,14","8,3","7,5",0.0,"10,0","9,7","5,0","8,7","9,3",-1.0,3
RA-327,"8,5","8,8","7,5","2,3","3,2",0,,,,,,,,,,,,,1
RA-328,"10,0","7,0","7,5","4,0","6,5",-1,,,,,,,,,,,,,1
RA-329,"7,4","6,9","4,4","3,0","7,0",0,,,,,,,,,,,,,1
RA-330,"9,6","7,2","6,89","3,8","3,8",-2,"9,5","8,8","7,5","2,3","2,7",-2.0,,,,,,,2
RA-331,"8,8","7,7","8,8","4,0","3,5",-1,"9,6","8,6","2,52","5,7","4,8",0.0,"9,0","8,7","7,5","2,3","5,0",-1.0,3
RA-332,"9,6","7,6","9,4","7,0","7,0",1,"9,2","8,4","8,76","6,3","7,7",-1.0,"9,5","9,0","8,1","7,5","7,5",-1.0,3
RA-333,"8,0","5,8","3,8","0,2","5,7",-2,,,,,,,,,,,,,1
RA-334,"6,9","9,2","4,4","7,0","9,0",0,,,,,,,,,,,,,1
RA-335,"9,5","9,4","7,5","5,8","9,0",0,,,,,,,,,,,,,1
RA-336,"7,5","5,5","6,3","6,0","6,5",0,"0,0","7,5","6,89","6,7","5,2",-1.0,"9,5","8,5","4,4","4,5","5,7",-1.0,3
RA-337,"10,0","9,3","7,5","7,5","4,0",0,,,,,,,,,,,,,1
RA-338,"9,2","7,4","7,5","5,0","8,0",0,"8,3","9,1","7,52","8,7","7,0",0.0,"8,5","7,3","7,5","5,3","6,2",-1.0,3
RA-339,"7,5","7,2","5,6","8,0","7,0",1,"0,0","8,9","7,52","7,7","5,7",0.0,"6,9","9,9","7,5","7,1","9,2",0.0,3
RA-340,"7,9","6,6","7,5","6,0","7,0",0,"0,0","9,6","2,52","9,0","8,7",-1.0,"9,0","8,2","7,5","6,0","7,0",0.0,3
RA-341,"8,0","7,7","7,5","5,0","6,5",-1,,,,,,,,,,,,,1
RA-342,"8,8","7,7","6,3","6,5","7,0",-1,"7,5","8,6","7,52","6,3","7,8",-2.0,"9,0","6,7","7,5","5,5","7,7",-2.0,3
RA-343,"9,2","7,2","6,26","4,5","6,7",-2,"9,5","7,4","7,5","4,2","7,7",-2.0,,,,,,,2
RA-344,"8,5","8,3","7,5","2,3","6,7",0,,,,,,,,,,,,,1
RA-345,"8,8","6,8","6,26","5,7","5,7",-1,"9,5","5,4","5,6","1,3","5,8",-1.0,,,,,,,2
RA-346,"10,0","9,1","2,5","6,0","4,5",0,"0,0","9,4","8,14","6,7","5,5",1.0,"10,0","9,1","7,5","6,0","8,0",0.0,3
RA-347,"8,8","9,7","6,9","6,5","7,5",1,"6,7","9,5","2,52","6,7","6,2",0.0,"9,0","10,0","5,6","8,5","8,5",-1.0,3
RA-348,"10,0","8,7","2,52","2,0","6,7",-1,"9,0","8,7","7,5","0,5","3,0",-1.0,,,,,,,2
RA-349,"9,5","7,7","7,5","2,2","5,2",-1,,,,,,,,,,,,,1
RA-350,"10,0","9,7","2,52","8,8","9,2",-1,"10,0","8,8","7,5","7,0","6,0",0.0,,,,,,,2
RA-351,"9,0","7,2","7,5","3,2","4,8",-2,,,,,,,,,,,,,1
RA-352,"8,3","4,5","6,3","2,0","5,5",1,"9,2","8,1","6,26","8,2","6,0",0.0,"9,0","8,1","5,6","7,3","6,7",0.0,3
RA-353,"8,8","9,9","2,52","8,5","7,3",0,"7,0","10,0","7,5","8,0","7,0",0.0,,,,,,,2
RA-354,"8,5","4,3","7,5","2,8","6,2",-1,,,,,,,,,,,,,1
RA-355,"5,8","5,0","7,5","5,5","3,5",-1,,,,,,,,,,,,,1
RA-356,"8,3","6,7","5,6","1,0","7,0",1,"9,2","8,5","2,52","4,3","4,5",0.0,"10,0","8,4","5,0","5,3","3,8",-1.0,3
RA-357,"8,8","9,0","8,1","8,5","7,0",-1,"8,5","9,6","7,52","8,7","8,7",-1.0,"8,0","9,6","7,5","10,0","7,0",-1.0,3
RA-358,"7,5","6,5","7,5","0,0","0,0",-1,,,,,,,,,,,,,1
RA-359,"9,2","7,2","6,3","4,0","4,5",1,"9,6","9,2","2,52","6,0","6,7",0.0,"9,0","7,0","7,5","3,3","5,8",-1.0,3
RA-360,"8,3","5,6","5,0","4,0","6,0",-1,"0,0","7,3","2,52","5,3","4,8",0.0,"9,5","8,5","7,5","4,7","5,7",-1.0,3
RA-361,"7,9","9,2","6,3","4,0","6,0",-1,,,,,,,,,,,,,1
RA-362,"0,0","7,5","7,52","5,7","6,8",0,"8,5","7,9","7,5","6,5","9,3",-1.0,,,,,,,2
RA-363,"9,6","9,5","5,6","4,0","3,5",0,"0,0","9,9","2,52","6,8","6,8",-1.0,"10,0","10,0","6,9","1,0","3,0",-1.0,3
RA-364,"8,8","9,5","7,5","8,0","5,0",0,"8,8","9,0","6,89","8,0","5,2",0.0,"9,5","10,0","7,5","9,5","8,0",0.0,3
RA-365,"9,6","10,0","7,5","8,0","7,0",1,"10,0","9,9","2,52","8,2","9,2",0.0,"8,0","10,0","5,0","6,0","9,5",0.0,3
RA-366,"9,5","9,4","7,5","6,0","5,0",-1,,,,,,,,,,,,,1
RA-367,"9,2","7,3","6,3","2,0","5,5",1,"8,8","8,7","2,52","7,0","5,5",0.0,"8,5","7,4","6,3","5,2","8,2",-1.0,3
RA-368,"7,9","6,2","7,5","4,5","7,0",-1,"0,0","7,7","2,52","5,0","7,2",-1.0,"8,0","7,9","5,0","5,5","9,0",-1.0,3
RA-369,"8,8","4,9","7,5","0,0","0,0",0,"10,0","4,1",5,"5,0","3,0",-1.0,"9,0","6,9","7,5","4,0","5,5",0.0,3
RA-370,"8,5","8,2","5,0","5,2","9,2",-1,,,,,,,,,,,,,1
RA-371,"9,5","8,0","6,9","7,8","9,0",0,,,,,,,,,,,,,1
RA-372,"8,5","5,5","6,9","8,3","7,2",0,,,,,,,,,,,,,1
RA-373,"0,0","9,7","2,52","7,7","9,0",-1,"6,4","9,5","5,0","6,5","8,0",0.0,,,,,,,2
RA-374,"8,8","8,3","5,63","6,3","6,3",0,"9,0","9,8","7,5","5,3","8,5",-1.0,,,,,,,2
RA-375,"9,6","9,4","7,5","9,0","5,5",0,"0,0","9,9",5,"6,8","9,0",-1.0,"9,0","9,5","7,5","3,3","7,5",0.0,3
RA-376,"10,0","8,3","2,5","2,0","5,0",-1,"8,5","9,6","2,52","4,3","7,5",-1.0,"9,0","9,0","7,5","2,0","6,7",-1.0,3
RA-377,"9,2","7,7","7,5","4,0","6,5",0,"9,6","7,6",5,"6,0","5,7",0.0,"9,0","7,7","5,6","4,3","8,0",-1.0,3
RA-378,"9,0","6,8","5,6","8,7","7,5",-1,,,,,,,,,,,,,1
RA-379,"8,5","8,1","7,5","5,0","5,0",-1,,,,,,,,,,,,,1
RA-380,"0,0","6,4","2,52","7,0","4,0",-1,"7,9","4,4","5,0","2,3","2,7",-1.0,,,,,,,2
RA-381,"8,3","6,1","7,5","2,5","4,5",-2,"0,0","8,4","6,89","5,3","5,3",-1.0,"9,0","8,3","6,9","1,5","5,2",-1.0,3
RA-382,"9,2","6,3","5,6","2,0","3,0",-1,"0,0","9,4","6,26","5,0","5,8",-2.0,"9,0","7,7","6,3","4,0","6,8",-2.0,3
RA-383,"9,2","8,6","7,5","1,0","8,0",1,"9,2","8,8","3,14","6,3","6,2",0.0,"9,0","9,6","7,5","8,0","8,2",0.0,3
RA-384,"7,5","8,6","7,5","5,0","9,5",0,"0,0","9,1","2,52","6,3","7,2",0.0,"9,0","8,4","6,3","8,0","8,2",-1.0,3
RA-385,"7,4","7,5","5,0","2,7","7,2",-1,,,,,,,,,,,,,1
RA-386,"9,2","7,0","2,52","5,0","3,7",-1,"10,0","5,9","5,6","3,7","4,3",-1.0,,,,,,,2
RA-387,"7,5","7,2","7,5","5,0","4,0",-1,"0,0","6,8","2,52","4,3","2,8",-1.0,"7,0","8,2","7,5","1,3","6,0",-1.0,3
RA-388,"7,5","6,3","7,5","1,0","7,0",-1,"0,0","7,4","5,63","6,0","4,3",-2.0,"7,9","8,5","5,6","3,5","5,5",-2.0,3
RA-389,"9,6","6,7","8,8","6,5","4,0",0,"0,0","8,2","2,52","6,8","9,5",-1.0,"8,0","8,9","7,5","2,0","5,0",0.0,3
RA-390,"7,5","6,1","8,8","3,0","2,5",0,"7,9","8,8","2,52","5,7","5,8",0.0,"7,4","8,8","6,3","4,0","5,3",-1.0,3
RA-391,"7,9","7,5","2,52","4,2","5,0",0,"10,0","8,1","7,5","5,0","5,2",-1.0,,,,,,,2
RA-392,"9,6","5,4","5,6","0,0","2,0",-1,"9,6","9,5","2,52","6,2","4,7",-2.0,"9,5","8,8","5,6","3,7","5,8",-2.0,3
RA-393,"10,0","5,4","5,0","4,7","4,5",-4,,,,,,,,,,,,,1
RA-394,"9,5","8,6","7,5","4,3","7,5",0,,,,,,,,,,,,,1
RA-395,"8,8","6,9","6,3","2,5","5,5",1,"9,2","8,6","2,52","6,7","5,3",0.0,"9,0","8,9","7,5","4,2","5,7",0.0,3
RA-396,"9,0","8,0","6,3","4,7","6,5",-1,,,,,,,,,,,,,1
RA-397,"7,9","7,9","5,6","5,0","4,5",-2,"7,5","7,9","2,52","6,7","5,0",-1.0,"9,0","5,7","6,9","3,3","2,3",-2.0,3
RA-398,"7,1","5,7","7,5","8,5","7,5",0,"6,7","8,1","2,52","9,3","5,8",1.0,"9,0","9,3","7,5","3,0","8,0",0.0,3
RA-399,"7,9","8,2","2,52","5,0","4,2",0,"6,8","9,3","5,6","3,0","5,5",-1.0,,,,,,,2
RA-400,"9,2","9,0","2,52","4,8","4,7",-1,"9,0","8,5","5,0","1,2","2,2",-2.0,,,,,,,2
RA-401,"6,7","6,8","6,9","7,0","5,0",0,"4,0","8,1","2,52","6,3","8,3",-1.0,"6,9","9,6","7,5","3,7","5,0",-1.0,3
RA-402,"7,5","3,1","6,3","3,0","3,5",0,"9,2","7,3","2,52","4,7","4,0",0.0,"9,0","3,7","5,0","4,3","1,7",-1.0,3
RA-403,"8,8","7,4","7,5","6,0","8,0",0,"8,5","8,8","6,27","6,8","8,8",-1.0,"9,5","9,3","7,5","6,5","6,2",-1.0,3
RA-404,"8,3","6,3","2,5","6,0","5,0",0,"7,9","8,3","5,02","4,7","7,2",-1.0,"9,0","7,3","7,5","4,0","6,5",-1.0,3
RA-405,"9,5","6,2","5,0","2,7","3,8",-1,,,,,,,,,,,,,1
RA-406,"9,5","9,5","7,5","5,4","7,8",-1,,,,,,,,,,,,,1
RA-407,"8,3","7,6","6,3","2,0","5,0",0,"9,6","8,6","7,52","7,3","7,2",-1.0,"8,5","9,3","7,5","4,0","8,0",-1.0,3
RA-408,"7,5","5,0","7,5","3,0","5,5",0,"7,9","8,5","3,77","6,0","7,5",-1.0,"8,0","9,7","7,5","1,0","5,5",-1.0,3
RA-409,"9,6","9,2","7,5","7,0","7,5",0,"8,4","9,5","2,52","6,2","9,7",-1.0,"7,9","9,7","7,5","6,0","9,5",0.0,3
RA-410,"8,8","5,8","7,52","5,0","4,8",-1,"7,4","6,5","6,3","2,0","2,0",-2.0,,,,,,,2
RA-411,"7,1","9,1","5,6","3,5","7,0",0,"6,2","9,0","7,52","5,7","6,7",0.0,"6,4","8,6","7,5","6,7","7,5",-1.0,3
RA-412,"8,3","8,5","6,3","8,0","6,0",0,"8,8","8,9","2,52","5,8","5,2",0.0,"8,5","9,0","7,5","6,5","8,2",-1.0,3
RA-413,"7,9","8,9","2,52","5,8","6,7",-1,"6,4","8,7","5,6","4,2","5,2",-1.0,,,,,,,2
RA-414,"7,9","8,4","7,5","9,0","3,0",0,"0,0","9,5","7,52","6,0","7,0",0.0,"8,0","9,3","7,5","5,7","6,2",-1.0,3
RA-415,"7,1","8,2","7,52","2,8","4,0",0,"8,0","8,3","7,5","4,8","7,5",0.0,,,,,,,2
RA-416,"8,8","9,0","7,5","8,0","7,5",1,"9,2","9,8","2,52","7,0","7,0",0.0,"9,5","9,3","8,8","6,7","7,7",-1.0,3
RA-417,"8,3","8,4","7,5","9,0","10,0",0,"5,4","9,7","7,52","6,7","8,3",0.0,"10,0","10,0","7,5","6,0","10,0",-1.0,3
RA-418,"8,8","10,0","7,5","9,5","8,5",1,"8,8","10,0","2,52","6,7","8,3",1.0,"8,0","9,4","7,5","6,5","8,5",0.0,3
RA-419,"7,1","9,4","6,3","6,5","8,0",1,"6,7","9,5","2,52","7,0","7,3",0.0,"7,5","9,2","5,6","5,3","8,5",-1.0,3
RA-420,"8,3","9,6","6,3","3,0","4,5",1,"8,3","9,3","2,52","5,7","5,8",0.0,"9,5","9,0","5,6","1,3","7,7",0.0,3
RA-421,"8,8","9,5","7,5","5,0","6,0",1,"9,2","9,9","2,52","8,0","6,2",0.0,"8,5","9,3","7,5","9,2","8,5",0.0,3
RA-422,"7,5","6,2","7,5","3,0","4,5",-1,"0,0","7,8","7,52","3,0","5,7",-1.0,"8,5","10,0","7,5","1,0","4,0",-1.0,3
RA-423,"5,8","6,5","8,1","6,0","3,5",0,"8,0","8,7","6,89","2,3","4,5",-1.0,"8,4","9,6","7,5","0,5","4,0",-1.0,3
RA-424,"8,3","9,6","7,5","2,0","6,0",0,"8,8","9,9","2,52","5,0","6,7",0.0,"9,0","10,0","7,5","10,0","5,0",-1.0,3
RA-425,"10,0","10,0","6,3","10,0","7,5",0,"9,2","9,9","2,52","6,7","7,3",0.0,"9,0","10,0","7,5","9,0","9,0",-1.0,3
RA-426,"7,9","7,9","4,4","3,5","7,0",-1,"5,4","7,6",5,"4,7","5,2",-1.0,"9,0","6,5","7,5","2,3","6,8",-2.0,3
RA-427,"8,0","8,5","7,5","3,0","2,0",-1,,,,,,,,,,,,,1
RA-428,"9,2","8,9","5,6","3,0","4,0",0,"8,3","9,5","2,52","9,3","4,7",0.0,"6,8","8,7","7,5","10,0","9,0",-1.0,3
RA-429,"10,0","5,3","7,5","2,8","2,5",-1,,,,,,,,,,,,,1
RA-430,"9,2","9,3","2,52","7,3","5,5",-1,"9,5","8,6","7,5","7,5","9,5",-1.0,,,,,,,2
RA-431,"9,0","8,1","7,5","5,0","4,0",0,,,,,,,,,,,,,1
RA-432,"7,5","10,0","6,3","5,0","6,0",-1,"8,8","9,0","2,52","5,0","6,3",-2.0,"10,0","6,8","5,0","5,7","4,5",-2.0,3
RA-433,"7,9","8,4","8,1","6,5","4,0",0,"8,5","7,2","7,52","1,8","7,7",-1.0,"8,5","7,3","5,0","2,2","3,0",-1.0,3
RA-434,"7,1","5,1","7,5","5,5","5,5",0,"6,3","8,0","7,52","5,2","8,0",-1.0,"9,0","8,1","7,5","4,8","6,5",0.0,3
RA-435,"7,9","6,2","7,5","3,7","5,7",0,,,,,,,,,,,,,1
RA-436,"7,5","4,7","2,52","3,7","3,0",-1,"9,5","8,1","7,5","4,0","0,0",0.0,,,,,,,2
RA-437,"8,0","8,4","7,52","2,5","6,8",-2,"8,5","8,3","7,5","6,0","5,5",-1.0,,,,,,,2
RA-438,"9,2","8,7","7,5","7,0","9,5",-1,"6,9","7,5","6,26","3,5","7,3",0.0,"8,0","8,7","7,5","6,5","8,0",0.0,3
RA-439,"9,0","4,9","7,5","3,2","1,3",-1,,,,,,,,,,,,,1
RA-440,"0,0","8,2","7,52","7,3","7,0",0,"9,5","9,0","6,9","6,0","5,0",0.0,,,,,,,2
RA-441,"9,0","7,9","7,5","8,0","8,0",0,,,,,,,,,,,,,1
RA-442,"8,3","5,9","5,6","4,5","7,0",1,"0,0","7,6","7,52","6,7","6,5",0.0,"10,0","8,2","7,5","9,0","6,0",0.0,3
RA-443,"7,1","7,5","2,52","7,0","8,7",-1,"9,0","9,1","7,5","8,0","3,2",-1.0,,,,,,,2
RA-444,"8,3","6,4","2,5","2,0","5,0",-1,"0,0","7,9",5,"4,7","5,8",1.0,"9,0","7,2","5,0","1,5","4,7",0.0,3
RA-445,"7,9","8,7","7,5","3,0","6,0",0,"8,0","8,8","6,89","7,7","9,0",-1.0,"9,0","9,4","7,5","0,0","7,5",-1.0,3
RA-446,"9,5","8,9","5,0","6,3","7,5",-1,,,,,,,,,,,,,1
